,logFC,pvalue,FDR
PIGK,-1.18301403191575,0.75392271520069,0.932736459941078
CU633906.1,-0.716779055268598,0.754121997143963,0.932902047143729
FAM160B2,0.357812620739227,0.754238822703414,0.932965610104978
TMEM86B,-0.656261067596307,0.754389628301178,0.933001705808496
MRPL20-AS1,-0.387137457737162,0.754398896103713,0.933001705808496
PRKRIP1,0.408715257851744,0.754576853190741,0.933111787888735
ZNF616,0.646792619985957,0.754618813311534,0.933111787888735
LRRC6,3.58033604752222,0.754807144132186,0.933263716110012
MKNK1,-0.298156601335591,0.754885035433288,0.933279079449914
NELL2,1.29943279709106,0.754967054873292,0.933299543381343
FAM160B1,1.09647365336445,0.755141664911483,0.933434455473693
AL513534.2,2.17895964149525,0.755453179006505,0.933738557301607
RPL36AP40,0.627641067102817,0.755606274719921,0.933754569004293
RENBP,0.973176318383598,0.755874470180228,0.933754569004293
STAT2,-0.257921513399219,0.755904652676184,0.933754569004293
DHTKD1,-0.360008850067397,0.755921411150471,0.933754569004293
EHD4,-1.24793803521668,0.756041442308027,0.933754569004293
ZC3H8,-0.223037179154769,0.756046167800399,0.933754569004293
PPP1R32,-0.780877848339352,0.756157514494207,0.933754569004293
TKFC,0.441710107794792,0.756259662344553,0.933754569004293
STRAP,0.539809066849884,0.756276889498746,0.933754569004293
MPP1,0.795783922296678,0.756408340279817,0.933754569004293
ITFG2,-0.237631772194449,0.756446508280276,0.933754569004293
ZNHIT3,0.288548086647052,0.756522831537591,0.933754569004293
AC017099.1,-0.501320631145141,0.756539509713312,0.933754569004293
PDXK,0.753171158652264,0.756562718277279,0.933754569004293
ATAD2B,-0.866505243170232,0.756626238277796,0.933754569004293
RPL31P57,-0.917412221405981,0.756665744030854,0.933754569004293
MRPS18A,-0.720105626217334,0.756674221629099,0.933754569004293
IMMP1L,-0.589427533705828,0.756999955693287,0.933754569004293
CNBD2,-0.533573392131417,0.757049660891106,0.933754569004293
LATS2,6.36730131378983,0.757236738840251,0.933754569004293
LYRM1,0.481393668140391,0.757377757703488,0.933754569004293
GRIPAP1,-0.379991325292251,0.757430290459772,0.933754569004293
WASF4P,-0.757008232872032,0.757533618796894,0.933754569004293
GDF11,0.330241315809606,0.757538895318535,0.933754569004293
Z99943.2,2.34957255470504,0.757609388526645,0.933754569004293
AC092798.1,-3.01545378426162,0.757630810531834,0.933754569004293
UBE2E2,-0.788508093481685,0.757638493003349,0.933754569004293
PIK3IP1,0.816479091363158,0.757729199377101,0.933754569004293
MBNL3,-0.305285731346718,0.757905276250028,0.933754569004293
RPS4XP17,-0.390795592564138,0.757938275895002,0.933754569004293
FAH,-9.351551859163,0.757960958854281,0.933754569004293
PAFAH1B2,0.218375483489065,0.75798135102538,0.933754569004293
SLC35F5,-0.778082675503325,0.757984943950274,0.933754569004293
PTP4A2P2,0.772159190690509,0.758130122994087,0.933754569004293
SMIM14,0.291739867902446,0.758167144599776,0.933754569004293
BBS10,-2.34264112574568,0.758293287052328,0.933754569004293
AC011466.4,0.68023029276002,0.758293422863483,0.933754569004293
MCM3AP-AS1,2.054833902748,0.758296171571148,0.933754569004293
ZNF319,0.431361971502812,0.758318004322183,0.933754569004293
GIPC1,1.09342843658505,0.758321983351683,0.933754569004293
MAP3K11,0.340514244473864,0.758376272056665,0.933754569004293
PSMA4,-0.395560404318522,0.758570484567522,0.933754569004293
KBTBD6,-1.04064387797524,0.758580831718188,0.933754569004293
LINC02256,2.14857804760538,0.758764164356743,0.933754569004293
ZNF518A,0.841331556871925,0.758774332492796,0.933754569004293
YARS2,0.458603203085761,0.758783913919859,0.933754569004293
NAXE,0.720339583050065,0.758828848963659,0.933754569004293
COIL,-0.755052305355277,0.758936932359368,0.933754569004293
LMF1,-0.500335915522348,0.758950571583596,0.933754569004293
RPGR,-0.365959843821327,0.759027131531549,0.933754569004293
ZDHHC18,0.259807593671489,0.759102126165247,0.933754569004293
YWHAG,-0.238020208979765,0.75914745305887,0.933754569004293
Z97192.3,0.272602448478202,0.759191401570776,0.933754569004293
VIPR1,2.57055153612469,0.759281970670314,0.933754569004293
NFIC,-0.376586112660956,0.759284204457407,0.933754569004293
DDX55,-0.246322966301725,0.759342980618529,0.933754569004293
EP400P1,-0.288323646012286,0.759385160475487,0.933754569004293
EIF5,0.126074681615919,0.759387526562601,0.933754569004293
ZNF211,-0.414373237559523,0.759408500483095,0.933754569004293
MTURN,0.62898820416063,0.759439997089107,0.933754569004293
ZFC3H1,0.429992777824396,0.75951549662114,0.933754569004293
STX1A,-0.847163282587723,0.759529657019867,0.933754569004293
C19orf38,-1.7409363078007,0.759592574126178,0.933754569004293
BICD1,-1.08001731520215,0.75986559278746,0.934000053266348
AGBL5,-0.638464076263221,0.759960796083461,0.934000053266348
SIRPG,-0.718088835458815,0.760067519153667,0.934000053266348
GLRX,-0.426154676244953,0.760078613815124,0.934000053266348
RPL38P1,-0.947713836691811,0.760119852553043,0.934000053266348
HMGB1P14,0.811112843119846,0.760300323518247,0.934012595211505
PPP2R3B,0.500687090210631,0.76035532384099,0.934012595211505
SNRPD3,-0.419564315311011,0.760409432259058,0.934012595211505
RNU1-1,0.810573819885212,0.760432223561967,0.934012595211505
MOB4,-0.306788334613388,0.760484707963395,0.934012595211505
FTL,0.273790005582176,0.760559362671491,0.934012595211505
PRCC,0.36450484344364,0.760588679700503,0.934012595211505
RIC3,1.47738580885747,0.760781321703548,0.93405675583701
SGK3,-0.436384397579549,0.760785179631441,0.93405675583701
LIMA1,0.842938335978951,0.760821201513704,0.93405675583701
AL157392.3,-0.54517824164361,0.761101691723229,0.934276587214147
SLC27A1,2.32737953422196,0.761185056266333,0.934276587214147
TRDJ1,0.366723233223825,0.761223012521316,0.934276587214147
AC009094.1,-1.60567555468224,0.761262404396712,0.934276587214147
NSMCE4A,0.256503761737221,0.761397904209178,0.934329540230253
DSTNP1,0.838247047524201,0.761436630078219,0.934329540230253
NAF1,0.808825333314892,0.761547833270326,0.934332663553688
CHIC1,0.611561333976146,0.761650897995849,0.934332663553688
RTCB,0.338316736712474,0.761696498617517,0.934332663553688
ZNF182,-0.598578626010718,0.761701333881942,0.934332663553688
ARHGAP17,-0.60066928581181,0.761879822932944,0.934375262240642
PPIF,0.33109764810522,0.76188072689657,0.934375262240642
ZNF446,-1.29966719478524,0.76193268964278,0.934375262240642
AC011979.1,0.256833420386375,0.762094880205686,0.934493773629129
INGX,0.711482550509073,0.762283208568415,0.934608262862633
PPP6R3,0.226327545044933,0.762379336628632,0.934608262862633
EEF1A1P16,0.530235964000803,0.762462208851577,0.934608262862633
DNAJB1,0.22861752490138,0.762498323313576,0.934608262862633
POMGNT2,-0.532408559965876,0.762552748881951,0.934608262862633
LNX2,2.82426214667112,0.762640140397621,0.934608262862633
AC009302.1,0.718390407460843,0.762647160625772,0.934608262862633
ADAR,0.110666917134204,0.76271944006362,0.934616497984096
PTRH1,0.393551066323228,0.762987308639449,0.934809075629368
WWP1,0.503327668679237,0.763007744389964,0.934809075629368
ARL6IP5,-0.446155591321626,0.763184165643877,0.934839702962183
ZNHIT2,2.88265987862211,0.763248570642634,0.934839702962183
ZNF583,0.894321317403041,0.76335098286018,0.934839702962183
Metazoa_SRP_ENSG00000278700.1,-0.669156782448212,0.763397548216606,0.934839702962183
AC118758.3,-0.611174343898524,0.76342235128348,0.934839702962183
GUSBP1,-0.306323731142791,0.763542657220255,0.934839702962183
LINC00680,-1.03106720519627,0.763556905840358,0.934839702962183
HPGD,-0.25078139318202,0.763557344366699,0.934839702962183
TTBK2,0.339181194890417,0.763642290527277,0.934863417239747
SUMO2P6,-0.816470611633815,0.763787803431509,0.934961267879065
ADGRE5,-0.504278721656795,0.763951183016792,0.935076705864244
AC108488.3,-2.59809490815263,0.764108425605657,0.935076705864244
ACIN1,0.395415102259165,0.764179070038246,0.935076705864244
HES6,0.732457268086974,0.764202669121026,0.935076705864244
RBM5,0.5213040309298,0.764210065938855,0.935076705864244
RFX2,-1.18847951994787,0.76464219047671,0.935525151685203
HERPUD1,0.265038465662048,0.764879074891987,0.93573466846822
AMYP1,-0.576187679155364,0.764968945743606,0.935764311868959
MT-TQ,0.759920451434701,0.76506802275028,0.935805210838953
ELMSAN1,-0.216963787640533,0.765284311385659,0.935989459772988
ZNF839,0.47681243177609,0.765680306088264,0.936393449737865
AC006213.2,0.830634742911077,0.765850015394948,0.936520657014101
ARHGAP27,-0.252602693613821,0.765949552472112,0.936562039629679
AC008549.3,-0.677968039341568,0.766106561733668,0.936673683025314
SPTLC3,-0.855127992464239,0.76630022677584,0.936750376308929
CEBPD,1.03344282344195,0.76634449825624,0.936750376308929
DDIT3,-1.2917045521153,0.766468200530153,0.936750376308929
AL138724.1,4.13886835929569,0.766511198381235,0.936750376308929
NEIL3,0.654869919478599,0.766548553016219,0.936750376308929
HNRNPKP2,0.582764341478087,0.766581365762565,0.936750376308929
IER3,-0.624446869635546,0.766629253675384,0.936750376308929
TPCN1,-1.40851031101375,0.766726321888419,0.936758010179408
PHF2,0.601402657514107,0.766766920649797,0.936758010179408
TFE3,0.509766714881962,0.766891077481254,0.936770481365949
NUDT9,1.11310252449262,0.766908549945426,0.936770481365949
PECAM1,1.54212936393582,0.767067707407899,0.936842641335946
TMEM131,-1.00368298352043,0.76709905669995,0.936842641335946
TBC1D4,2.8612394681213,0.76728354447683,0.936987682890328
ABCA1,-2.48210585792086,0.767451785390822,0.93711286103054
ELOF1,1.13496163385012,0.767628085201805,0.937203354677691
ABCD2,3.6153230633196,0.767688427442725,0.937203354677691
AL355816.1,0.62957859793326,0.767821879606142,0.937203354677691
ZNF283,0.823006689746874,0.767903501354612,0.937203354677691
HIST1H2BF,-0.73305095706467,0.767911017972766,0.937203354677691
RPLP1P6,-0.199783383661209,0.767920341329272,0.937203354677691
AC108047.1,-0.480801639488266,0.768147790796829,0.937318016530813
YPEL3,0.153063459254668,0.768172284992773,0.937318016530813
WDR60,-0.436154454863012,0.768256429961919,0.937318016530813
CD151,0.90318953042291,0.768277288381212,0.937318016530813
RNF26,-0.732820964742804,0.768372628273116,0.93732025360326
PMPCA,-0.285571158713337,0.768410620360641,0.93732025360326
COG5,0.616608588352869,0.768969745091781,0.937687451761724
ZNF440,-0.664859357638135,0.768997876782989,0.937687451761724
U6_ENSG00000283499.1,0.852455134698564,0.769009420326481,0.937687451761724
ZBTB8OS,0.285238367809972,0.769034619073883,0.937687451761724
STRN4,-0.312659716444746,0.769040522306263,0.937687451761724
EOMES,1.60145833005663,0.769121976741253,0.937706568068358
TTC7B,-0.76042026794396,0.769315909227759,0.937853374236691
AL355877.3,-0.364086858090998,0.769373962661202,0.937853374236691
CACNB4,-0.759115922345623,0.769655893608095,0.937990815292899
AC010632.2,0.813681059104817,0.769711946720675,0.937990815292899
NEK1,-0.76984517065373,0.769890427420833,0.937990815292899
AP3M1,0.616494237652008,0.769952398454147,0.937990815292899
USP21,-0.357230877548952,0.769969043626551,0.937990815292899
SH2D1A,-0.430977747222067,0.769996041091897,0.937990815292899
AL049840.5,0.860391691570128,0.770005462200189,0.937990815292899
THUMPD3-AS1,-0.30177147781363,0.770058060271863,0.937990815292899
FO393409.1,0.920482468398372,0.770101681271799,0.937990815292899
GOLGA6L4,3.14582760868397,0.770144675435142,0.937990815292899
AC022762.2,0.815446217104294,0.770300157288709,0.937993864907762
RBBP8,-0.737784149470076,0.770385099390306,0.937993864907762
SNPH,0.712210539054732,0.770444471922539,0.937993864907762
U1_ENSG00000274210.1,0.374790252361681,0.770547740322528,0.937993864907762
TASOR2,0.561572991980384,0.770634580756143,0.937993864907762
ZNF549,-0.417244246683106,0.770669702055794,0.937993864907762
PLA2G15,10.7842210313572,0.770737650433551,0.937993864907762
ZFYVE16,0.709625459054095,0.770755746635435,0.937993864907762
DEDD,-0.45513374187587,0.770785201286495,0.937993864907762
ABHD14A,0.981543153106813,0.770805143616333,0.937993864907762
POLR2J,-0.163034666320447,0.770892015997392,0.938019510076718
ZNF790,-0.363537939097059,0.771176836242521,0.938270287277372
AL596276.2,0.425627414633255,0.771229743709052,0.938270287277372
SLC38A6,-0.598689928781431,0.77130113828993,0.938277073765786
Z95331.1,0.440753773843912,0.771394004919121,0.938295013164691
UNC45A,-0.329347512557544,0.771507974547093,0.938295013164691
RPS15AP28,0.402659494898085,0.771513337844873,0.938295013164691
IL12RB2,-1.16398669345365,0.771699171718259,0.938440961529941
SLC52A2,0.329811003080822,0.772003431295022,0.93850021555392
TSHZ1,-0.291525426468664,0.772135123152293,0.93850021555392
NEMP1,-0.806497242740887,0.772293129421587,0.93850021555392
MPI,-1.31395003996127,0.772310144026574,0.93850021555392
NDUFA9,-0.480102567313059,0.772353493728006,0.93850021555392
ZDHHC4,-0.418876837363103,0.772356708764745,0.93850021555392
ZFAND2A,0.850122602857048,0.772436959236054,0.93850021555392
AC106707.1,-1.11885868008204,0.772569369878424,0.93850021555392
LTO1,0.298252421819598,0.772575240718359,0.93850021555392
MUC20-OT1,-0.165507319140648,0.772596134705762,0.93850021555392
CDV3P1,0.918897155215611,0.772609004601901,0.93850021555392
PDE6B,-0.47882276171315,0.772658673157625,0.93850021555392
AC013356.1,-0.444410589234311,0.772684205025155,0.93850021555392
GEMIN6,0.429904159273843,0.77272840596124,0.93850021555392
MSMO1,0.464804076132469,0.77279159020225,0.93850021555392
AC007562.1,1.10981183797192,0.772801208641096,0.93850021555392
SLC30A1,0.45408621385877,0.772873976173619,0.938508637506909
AP1G2,-0.228951814859004,0.772974400378378,0.938550638939967
FOXJ3,-0.631997873074542,0.77307328681115,0.93858499814197
CTSW,0.443952300890939,0.773134373820227,0.93858499814197
AC141586.4,1.88824641236113,0.773308934691948,0.938711999775043
GNPDA1,0.516371285650022,0.773370681632848,0.938711999775043
CHAMP1,-0.818520207651577,0.77354644560529,0.938799797054849
AP005431.1,-0.311344400114039,0.773579780249225,0.938799797054849
CCDC59,-0.232246428542253,0.773640573498903,0.938799797054849
AVL9,-0.801092827811183,0.773788438211098,0.938899308463479
BTD,-1.04378613395781,0.773885644464224,0.938922534782084
IPO8,0.330968797286768,0.773939303186326,0.938922534782084
ATF4P4,-0.336452711366483,0.77422472109022,0.939153083924204
MINCR,-0.474939320078823,0.774261096756535,0.939153083924204
PDK3,0.221869229053365,0.774407834076943,0.939191196222367
PNMA8A,-2.3335695803699,0.77443068194372,0.939191196222367
RIC8A,0.230778394967241,0.774490158725459,0.939191196222367
AL162615.1,-0.719850603496422,0.774641215097781,0.939294476689118
SLC4A1AP,-0.283163957680859,0.77479518281413,0.939333039178084
NDUFV2-AS1,0.589795911317914,0.774850531742802,0.939333039178084
AC108073.1,0.531790244108778,0.774966239443525,0.939333039178084
DYM,0.224730655015904,0.774979182501436,0.939333039178084
RUFY3,-0.678911012780351,0.775010200912861,0.939333039178084
NDUFA10,0.518804092184272,0.775068359978381,0.939333039178084
AL136038.5,-0.43229399739103,0.775135827121844,0.939334949970165
NDUFS5P5,-0.634787882430209,0.775287848943408,0.939439317852717
AL109615.1,-1.28741298443405,0.775471031954666,0.939581423724776
AL353708.3,11.2558214383401,0.775604399720235,0.939663153090139
RCN1,0.430602591395032,0.775793963576488,0.939702907670258
LMAN1,-0.21659730108462,0.775927204412323,0.939702907670258
AD000864.1,1.01001561906586,0.775944346773889,0.939702907670258
SP1,-0.410835217137349,0.77596428712393,0.939702907670258
RPL18P11,0.625104874840436,0.775966794970137,0.939702907670258
GPR180,0.571568090119769,0.776106066959147,0.939791734525576
AC006116.11,-0.772240296837101,0.776356259950578,0.940014849826349
TIAL1,0.400106086603179,0.77642778983652,0.940021619695068
WDR43,0.528322298424516,0.776540462715096,0.940051489213963
SLC19A1,0.542743100357808,0.776604790999878,0.940051489213963
VPS9D1,0.349648270236686,0.776655113500971,0.940051489213963
NBPF8,-0.250616803847544,0.776716224147816,0.940051489213963
ZNF585A,0.315412272337995,0.776863667363219,0.940149068199942
IMPDH1,-1.34808768038803,0.776928743859675,0.940149068199942
AC012645.3,-0.652151776835406,0.777224810113989,0.94042750746775
PTPRH,-0.768925968440116,0.777351026208063,0.940444920252763
CAMK1D,-0.451679075986497,0.777456565229168,0.940444920252763
MRPL33,-0.34853448548462,0.777608401192137,0.940444920252763
ZNF621,0.319164628876552,0.777665829234536,0.940444920252763
CCDC186,0.480426782659647,0.777723043617394,0.940444920252763
CASP7,-0.333442597245685,0.777794818823491,0.940444920252763
VCAN,1.37187267440584,0.777859310903393,0.940444920252763
DENND1C,-0.218581907514833,0.777887719036219,0.940444920252763
SHLD3,0.71261557339882,0.777888965749122,0.940444920252763
Y_RNA_ENSG00000267828.1,-0.673258587555825,0.777931372112933,0.940444920252763
ANKRD13C,-0.415550044942123,0.777964853012124,0.940444920252763
RABL3,-0.331244293554123,0.778058992477869,0.940451735912391
ZNF587B,0.488897596728099,0.778102428807986,0.940451735912391
EMC9,-0.739317215466646,0.778294180366492,0.940584833456737
UCP2,0.308959496587651,0.778344506193121,0.940584833456737
KIAA0513,-0.391351197390104,0.778413384424363,0.940588337714334
THSD1,0.536066895438106,0.778600057935587,0.940734166109816
RSBN1L,-0.128715250757382,0.778782210507644,0.940855536201481
ATF4,0.126307708258664,0.778832504399108,0.940855536201481
CD63,-0.388018333666668,0.77894097963986,0.940906846784091
ASCC1,-0.849803514632268,0.779042326252536,0.940949538511917
CCDC30,0.431871309351276,0.779126144669211,0.940971053744856
AC103703.1,0.780562386925198,0.779382276342207,0.941200654937273
Y_RNA_ENSG00000238713.1,0.779246560243548,0.779745264521638,0.941531029165294
RMI2,-0.835326457583703,0.779814231988505,0.941531029165294
MOB3C,0.614831989866701,0.779903612258401,0.941531029165294
ZBTB24,0.319319732595693,0.779972476603864,0.941531029165294
RPSAP46,0.485788885241718,0.780079689440694,0.941531029165294
ARL2BP,-0.30052747925605,0.780108849726203,0.941531029165294
GTF2H1,0.341334020685424,0.780131072197712,0.941531029165294
IRF7,-0.718314255896149,0.780201565848017,0.941531029165294
DSTNP2,-0.683009757589879,0.780250251021239,0.941531029165294
ANGEL1,0.630682988728334,0.780413843387246,0.941648730539872
ACTR6,-0.501326596444665,0.780763226996145,0.94199056906373
CFAP44,2.22162097607372,0.78095704197402,0.942144672114888
DVL1,0.435292940773328,0.781131294337423,0.942275150793223
AC005908.3,2.74037670915556,0.781293659197939,0.942391268764347
UBN1,-0.190706849028172,0.781505986145234,0.942476998984519
RPS26P13,0.25233718490522,0.781549716074907,0.942476998984519
AC011043.1,-0.638214196190457,0.78156306691884,0.942476998984519
AL035411.1,0.527900475162599,0.781814101797251,0.94257100806053
PPID,-0.238640882185559,0.781833960059363,0.94257100806053
Y_RNA_ENSG00000201442.2,-0.596343534591591,0.781901670539005,0.94257100806053
AC004938.1,-1.97512189945212,0.782026689332249,0.94257100806053
FAM156B,1.05914136630008,0.782073456150246,0.94257100806053
Metazoa_SRP_ENSG00000278770.1,-0.689040498932698,0.782143319178255,0.94257100806053
KLHL24,0.42125379261415,0.782268800056319,0.94257100806053
SRP14P2,-0.301770194378247,0.782333897820118,0.94257100806053
STX18-AS1,0.398096820093744,0.782357968358093,0.94257100806053
FLT3LG,-2.26229537056385,0.782373071756217,0.94257100806053
PPP1R15B,-0.235028302421491,0.782386100050344,0.94257100806053
IGKC,2.30900244765124,0.782434435282569,0.94257100806053
MTMR1,0.397487224185511,0.782822253979142,0.942665288789714
LINC01184,0.412202220701154,0.782868185789756,0.942665288789714
AGPAT2,0.514386818177374,0.782909584441867,0.942665288789714
U1_ENSG00000273727.1,2.29391835857584,0.782913433287742,0.942665288789714
SNUPN,0.300046621690309,0.783053446406815,0.942665288789714
GBA2,0.685449412017215,0.783067056462878,0.942665288789714
CDAN1,-0.430458415460039,0.783094999321572,0.942665288789714
AL022342.1,-0.966217427448445,0.783097739409707,0.942665288789714
ZNF761,0.967698258588356,0.783158634615282,0.942665288789714
AL139039.2,-1.59062534628969,0.783173939423777,0.942665288789714
DIS3L2,0.259494641652346,0.783617559603938,0.943119622601413
PDCD11,-1.05911374155028,0.783687909450921,0.943124669688699
TMEM175,-0.592936863417616,0.783802259506217,0.943147403700759
RPSAP4,-1.78241071224665,0.783881830596274,0.943147403700759
RAB40C,-1.301724707408,0.783921630515169,0.943147403700759
NKD1,0.62194250937319,0.783985842538574,0.943147403700759
USP9X,-0.271295669952176,0.78417580377369,0.943147403700759
TMLHE,-0.469944467674505,0.784177079249615,0.943147403700759
NOD1,0.415762883601133,0.784229215865987,0.943147403700759
ELK1,-0.610439060091171,0.784236063655219,0.943147403700759
SFXN1,-0.287976616475551,0.784375772889809,0.943211672550662
PRAL,1.09042970958067,0.784441308992908,0.943211672550662
METTL4,0.850572089413423,0.784517406333285,0.943211672550662
GBF1,-0.25952310702621,0.784554153556801,0.943211672550662
DSTN,-0.370846110187527,0.784655666591432,0.943254168389195
RNF113A,0.29940087711634,0.784858517659316,0.943418467769916
ARMCX5,-0.451786993675639,0.784928446941548,0.943422977792658
MTHFD1P1,0.689360880371284,0.785105148884301,0.943506158712273
PM20D2,0.382134869895075,0.785340944548745,0.943506158712273
ANAPC5,-0.153128680871384,0.785389041326694,0.943506158712273
COX7B,-0.267063108306376,0.785400854331895,0.943506158712273
KLHL25,0.620969962290231,0.785463054902074,0.943506158712273
Y_RNA_ENSG00000239040.1,0.721300512318203,0.78578116172849,0.943506158712273
SENCR,0.689836528739359,0.785886241939168,0.943506158712273
GNL2,-0.266147356174105,0.785944340016832,0.943506158712273
JUND,-0.192574347500677,0.785954073396399,0.943506158712273
ANKMY1,1.41349042660997,0.785960142206948,0.943506158712273
TRIP6,-0.727516576009531,0.785973051660086,0.943506158712273
MSI2,0.335496721051827,0.785986676560167,0.943506158712273
EEF1DP7,0.616668489156583,0.786001500119367,0.943506158712273
S1PR3,-1.21988074407301,0.78601715951949,0.943506158712273
AL512625.3,4.31257270833434,0.786032802157425,0.943506158712273
AL158201.1,1.48570766882237,0.78606113578457,0.943506158712273
AC124319.3,-0.476346927887008,0.786185479901355,0.943506158712273
C17orf67,-0.557358662364675,0.78627261857796,0.943506158712273
EIF4BP3,-0.395959920911389,0.786307257149321,0.943506158712273
SLC2A1,-0.314088004478563,0.786329564456102,0.943506158712273
AL138963.1,-1.95299152149971,0.786458688051481,0.943506158712273
PPP1CA,-0.121126151304687,0.786473345220987,0.943506158712273
GFOD1,-0.261953921008888,0.78656011743654,0.943506158712273
CDKL1,-0.623198169498073,0.786647259514046,0.943506158712273
ITPRIPL2,0.718166562779438,0.786699045410104,0.943506158712273
PEA15,0.513722913682627,0.786795603074893,0.943506158712273
CDC25A,0.472226476909092,0.786846574482684,0.943506158712273
DNAJC10,0.196983010844159,0.786990877277564,0.943506158712273
SLC35B3,-0.322272326670056,0.787027168051744,0.943506158712273
C10orf95,-0.569668902186472,0.787079926603063,0.943506158712273
MYO18A,0.451247784919268,0.787112384087202,0.943506158712273
TGFBRAP1,-0.555657592239293,0.787255776627837,0.943506158712273
ASTE1,0.39108073598386,0.787350385840505,0.943506158712273
BBS1,-1.63460667178482,0.787451132867049,0.943506158712273
AF274858.1,-0.59981784875837,0.787452525882266,0.943506158712273
AZIN1,0.239868806681771,0.787505651886221,0.943506158712273
CDC42-IT1,-1.71063180863665,0.787595196148667,0.943506158712273
TTC31,0.409087291202447,0.787625449893085,0.943506158712273
POLR1B,-0.290074780401351,0.787637988088719,0.943506158712273
RPS19BP1,-0.179538345365423,0.787660024021223,0.943506158712273
TVP23C,-0.324139977659189,0.787765863433558,0.943506158712273
AP5B1,0.898661171554001,0.787831488223462,0.943506158712273
GTPBP3,0.462257576738715,0.787904647233225,0.943506158712273
SPAG1,1.57854340260801,0.787909709558755,0.943506158712273
WAPL,0.495622978820339,0.787989302934433,0.943522215910741
SPSB3,0.231406085900225,0.788115112340452,0.943532671586067
PRRT3,0.450402142974849,0.788265058042768,0.943532671586067
RPS26P39,-0.220124872945061,0.78829666591561,0.943532671586067
UBP1,-0.211180637107392,0.788337746474085,0.943532671586067
BET1L,-0.268370568363468,0.788460478999119,0.943532671586067
AC009950.1,-0.426396527150063,0.788699222771012,0.943532671586067
E2F4,0.276402988059592,0.788722064976326,0.943532671586067
C11orf68,0.456974017072069,0.78875809130005,0.943532671586067
SMCR8,-0.28133519699976,0.788770482518655,0.943532671586067
AC127502.3,0.78880742574911,0.788819628852607,0.943532671586067
TRGJ1,0.39538204857379,0.788885630772574,0.943532671586067
SAFB,0.457736338986812,0.788914884287241,0.943532671586067
ZC3HAV1,-0.290872879122944,0.789094614672093,0.943532671586067
NOC2L,-0.225544550247957,0.789096063445315,0.943532671586067
ADAM22,0.608059266142813,0.789110900394992,0.943532671586067
VPS16,-0.462976087333853,0.789119111966833,0.943532671586067
HELQ,-0.597386663951311,0.789123179245277,0.943532671586067
CFL1P1,-0.461522069307408,0.789300005587219,0.943664951329369
AC084198.1,0.458796407429466,0.789443561643898,0.943757435202969
TBCE_ENSG00000284770.2,-0.721621306724336,0.789992139070087,0.944302182225651
MCAT,-0.618352784884331,0.790031714885335,0.944302182225651
ZNF649,-1.31703056561462,0.790178322968116,0.944374397104772
ZMYND19,-0.441198055138142,0.790224620024048,0.944374397104772
PHF21A,-0.249464392314308,0.790508150178137,0.944478223636481
RPS5P2,-0.589172343075095,0.790521391211264,0.944478223636481
AC131206.1,0.457909623686169,0.790563939590822,0.944478223636481
CRTC2,0.24024915244672,0.79066920550928,0.944478223636481
PPIEL,-0.393333470409121,0.790682171450096,0.944478223636481
C11orf24,0.473201411939318,0.79076174677733,0.944478223636481
RPL11P4,-1.93336202491184,0.790775257949287,0.944478223636481
CYREN,0.404092987033335,0.791133861337312,0.944589629446071
DKK3,-4.57441584833737,0.791272603234506,0.944589629446071
RPS2P2,-1.57705210582251,0.79128207813874,0.944589629446071
RPL31P1,-0.686609570024449,0.791312335002129,0.944589629446071
AL590326.1,-0.551806546087117,0.791348280136387,0.944589629446071
AC009315.1,-1.48085008134258,0.791382956462174,0.944589629446071
CLN6,-0.913094629075545,0.791444573256941,0.944589629446071
ZNF408,-2.61316659498638,0.791573493691978,0.944589629446071
MBOAT1,1.11386634141779,0.791622533525596,0.944589629446071
AC092573.1,0.700792077184023,0.791652738952011,0.944589629446071
RWDD4P2,0.445167349128236,0.791709806113506,0.944589629446071
INPP5E,-0.356424571921383,0.791724735918862,0.944589629446071
AFF1,0.243420517959875,0.791783152513548,0.944589629446071
VPS13B,0.215130449383241,0.791796161046615,0.944589629446071
AL133453.1,-0.551804337376757,0.791871679081257,0.944600674168053
MFSD1,-0.63161377095433,0.791990064250677,0.944608648822145
RPS4XP1,-0.305588919576219,0.79210527213053,0.944608648822145
SPACA9,-0.531613251784398,0.792121269908595,0.944608648822145
DDIAS,-0.688707053626713,0.792184263525949,0.944608648822145
UBXN2A,-0.582691650742259,0.792209666478505,0.944608648822145
TAB2,-0.547092297995018,0.792424489639472,0.944734470393795
AC093484.3,0.543792915768194,0.792575992287944,0.944734470393795
S1PR2,0.510551895259132,0.792578015475584,0.944734470393795
NRIP1,-0.348800763702058,0.792580265566063,0.944734470393795
AL354707.2,0.595982297953974,0.792668083142202,0.944760153271067
AC093433.1,-2.40742500264084,0.792873705688809,0.944926228749345
CHD7,0.371081293303363,0.793019192881161,0.945015971788381
GLRX3,-0.185093849578558,0.793085783728067,0.945015971788381
CDS2,-0.258866007563029,0.793254857464594,0.945015971788381
PPAN,-0.263577377624462,0.793272427404322,0.945015971788381
HMGB1P24,-0.574830676737984,0.793298830506272,0.945015971788381
DGKD,0.384497321177015,0.793346741748271,0.945015971788381
SMARCA5,-0.316289235122974,0.793699924550044,0.945287908003925
GABARAPL2,0.158951392371787,0.793777593442757,0.945287908003925
ZNF417,0.329387088091055,0.793810541309109,0.945287908003925
POM121,-0.30778766162269,0.794048439660936,0.945287908003925
