,logFC,pvalue,FDR
SNRPEP5,-8.23320606860176,9.67059281387073e-06,0.000710639026569799
AC016739.1,-2.94826633500789,9.9698919410196e-06,0.000725210680696458
SORD,-5.61057276935368,9.9706294484081e-06,0.000725210680696458
NDFIP1,-2.51524933831905,1.00276902451624e-05,0.000725658640279364
WDR61,-3.39274339511405,1.01142489368211e-05,0.00072822592345112
NIBAN1,3.24043513127227,1.02485276806119e-05,0.000731469268934264
CSRNP2,-5.82111690727485,1.02619145473382e-05,0.000731469268934264
TCEAL8,-3.39566282002269,1.05091740401075e-05,0.000745367090128224
RPL7P6,-1.28989844846774,1.11397500438537e-05,0.000786179587253358
ATP5F1C,-1.96671227187471,1.11995715317281e-05,0.000786507841164119
KIF21A,6.31934290254702,1.12887592698119e-05,0.000788885059560971
NBDY,-2.99582535053684,1.16398521421424e-05,0.000809452351894544
HLA-E,2.33390123870544,1.17180617220658e-05,0.000810400888255381
AL049714.1,-1.93950598300581,1.17671846148193e-05,0.000810400888255381
AC104651.1,-4.03508129300554,1.26088914231826e-05,0.000864194019850435
MIS18BP1,-2.99001651767628,1.31305409424298e-05,0.000895641108494161
VANGL1,-6.14904142126525,1.35540106710463e-05,0.000920123695840174
SYNC,-4.80138843735403,1.41018252983738e-05,0.000952775457126145
CBX3,-2.85218719452133,1.45362852725928e-05,0.000977496617198502
AC129492.5,-3.08655790001708,1.46298808898493e-05,0.0009791717463178
RPS2,-3.37229373072197,1.47405750348106e-05,0.000981758808874381
CLK1,-2.42806240040325,1.48062671091465e-05,0.000981758808874381
USP28,5.6131897324699,1.527225751774e-05,0.00100796899617084
MIR1244-3,-2.319685271072,1.55284023679592e-05,0.00102015163206279
GLIPR2,3.33184140767987,1.58708658591911e-05,0.00103456325661949
CD4,-4.94900618199524,1.5892911980897e-05,0.00103456325661949
CD5,-2.85439306608205,1.71318004398291e-05,0.00111014066850093
ERH,-2.2398624803436,1.72155528500584e-05,0.00111052000647254
S1PR5,9.52648892981926,1.73208567005867e-05,0.00111227987893497
RNU1-3,-3.32949587084023,1.74682680960103e-05,0.00111671582949203
FAAP20,-3.07586467527868,1.78247359733374e-05,0.00113441712516026
LINC01089,-3.05981759902412,1.81714006510791e-05,0.00115133994525237
CLIC3,6.33557245078916,1.83092329922863e-05,0.001154939936009
MEX3B,-7.54259656690777,1.86210123893638e-05,0.00116799699721793
TUG1,-2.13471476272486,1.86800866558423e-05,0.00116799699721793
AC135178.7,-1.12402560775597,1.91220277909743e-05,0.00119040885671672
AC044913.2,-9.2469550585015,2.08439862903198e-05,0.00129196464589043
RBL2,12.7532680976687,2.11210723547461e-05,0.0013034718938929
AC113410.1,-3.51192522806242,2.20111319425564e-05,0.00135013430467383
DBI,-1.753004000205,2.20665890143801e-05,0.00135013430467383
RPL7,-0.787595168183864,2.24435371948273e-05,0.0013673293429464
FKBP1A,-2.30196036707545,2.30046150901941e-05,0.00139554805415237
RPL31,-0.502066318017484,2.32547492063917e-05,0.00140463580068776
S100B,7.1161394829892,2.33743293300837e-05,0.00140463580068776
GAPDH,-2.86376418732586,2.34500084570488e-05,0.00140463580068776
ZNF431,-2.49086315622165,2.41558539268993e-05,0.00143569976331011
RPLP1,-1.96967733658921,2.41700296853553e-05,0.00143569976331011
TBL1XR1,-2.04941422892928,2.4565802881571e-05,0.00145315388331816
USP6NL,-6.69415488075106,2.49141179485823e-05,0.00146766803915285
BCOR,-3.74878102178806,2.52333696341145e-05,0.00148035768520138
AC073335.1,-2.49421184783044,2.57364089542023e-05,0.00150368133627503
AC023906.1,-2.16713933933855,2.58729579830641e-05,0.00150548934288393
TOP2B,-2.03349992040672,2.60561950059524e-05,0.00150998827644251
ATP5PD,-2.12413736448529,2.63835199083573e-05,0.0015213287643587
UQCRC1,-3.42891018712767,2.64653152048933e-05,0.0015213287643587
CDH2,-11.3846214061684,2.72092854615158e-05,0.00155781354835088
AL138693.1,-6.28764147675432,2.75479536117063e-05,0.00156579981781338
SYTL2,2.58881496853884,2.75869367910575e-05,0.00156579981781338
